         48233 function calls (42833 primitive calls) in 2.805 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    2.663    0.037    2.663    0.037 {method 'recv' of '_socket.socket' objects}
      564    0.013    0.000    0.013    0.000 {method 'write' of '_io.TextIOWrapper' objects}
11427/6027    0.012    0.000    0.022    0.000 encoder.py:333(_iterencode_dict)
      282    0.008    0.000    0.008    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       51    0.007    0.000    0.007    0.000 encoder.py:204(iterencode)
      141    0.006    0.000    0.013    0.000 __init__.py:251(__init__)
     5607    0.006    0.000    0.016    0.000 encoder.py:277(_iterencode_list)
       72    0.004    0.000    0.004    0.000 {method 'sendall' of '_socket.socket' objects}
     6027    0.004    0.000    0.026    0.000 encoder.py:412(_iterencode)
      423    0.004    0.000    0.017    0.000 __init__.py:564(format)
      141    0.003    0.000    0.003    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
       51    0.003    0.000    0.036    0.001 encoder.py:182(encode)
     5007    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      282    0.003    0.000    0.003    0.000 {built-in method time.localtime}
      282    0.002    0.000    0.057    0.000 __init__.py:852(handle)
      423    0.002    0.000    0.002    0.000 __init__.py:390(format)
      282    0.002    0.000    0.012    0.000 __init__.py:971(flush)
      282    0.002    0.000    0.036    0.000 __init__.py:982(emit)
      282    0.002    0.000    0.002    0.000 {built-in method time.strftime}
      141    0.002    0.000    0.004    0.000 __init__.py:1376(findCaller)
      141    0.002    0.000    0.015    0.000 handlers.py:177(shouldRollover)
     1170    0.002    0.000    0.002    0.000 Character.py:26(display)
      141    0.002    0.000    0.059    0.000 __init__.py:1500(callHandlers)
      126    0.002    0.000    0.068    0.001 __init__.py:1298(info)
       63    0.002    0.000    0.005    0.000 Game.py:212(update_game_state)
      141    0.001    0.000    0.080    0.001 __init__.py:1421(_log)
      423    0.001    0.000    0.002    0.000 __init__.py:329(getMessage)
      564    0.001    0.000    0.002    0.000 __init__.py:809(acquire)
      423    0.001    0.000    0.018    0.000 __init__.py:829(format)
      282    0.001    0.000    0.006    0.000 __init__.py:497(formatTime)
       24    0.001    0.000    1.243    0.052 Player.py:90(activate_power)
      141    0.001    0.000    0.014    0.000 __init__.py:1406(makeRecord)
       72    0.001    0.000    2.664    0.037 protocol.py:4(recvall)
      141    0.001    0.000    0.002    0.000 posixpath.py:144(basename)
      141    0.001    0.000    0.033    0.000 handlers.py:63(emit)
       12    0.001    0.000    0.892    0.074 Player.py:326(move)
      564    0.001    0.000    0.001    0.000 __init__.py:816(release)
     1470    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring_ascii}
      141    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
      423    0.001    0.000    0.002    0.000 __init__.py:387(usesTime)
       12    0.001    0.000    2.788    0.232 Player.py:20(play)
      423    0.001    0.000    0.002    0.000 __init__.py:542(usesTime)
       63    0.001    0.000    0.002    0.000 Game.py:216(<listcomp>)
      564    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      141    0.001    0.000    0.001    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
      141    0.001    0.000    0.002    0.000 posixpath.py:121(splitext)
      423    0.001    0.000    0.001    0.000 __init__.py:705(filter)
      141    0.001    0.000    0.060    0.000 __init__.py:1446(handle)
      564    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      423    0.001    0.000    0.003    0.000 __init__.py:548(formatMessage)
       51    0.001    0.000    0.037    0.001 __init__.py:183(dumps)
       36    0.001    0.000    0.013    0.000 utils.py:27(send_json_to_player)
      423    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      141    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
       36    0.001    0.000    0.003    0.000 __init__.py:302(loads)
       36    0.001    0.000    2.669    0.074 utils.py:12(receive_json_from_player)
      141    0.001    0.000    0.001    0.000 posixpath.py:52(normcase)
      141    0.001    0.000    0.001    0.000 __init__.py:1544(isEnabledFor)
      141    0.001    0.000    0.001    0.000 __init__.py:157(<lambda>)
       12    0.001    0.000    0.602    0.050 Player.py:44(select)
       63    0.001    0.000    0.001    0.000 Game.py:219(<listcomp>)
       72    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      423    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      141    0.000    0.000    0.017    0.000 __init__.py:1063(emit)
      141    0.000    0.000    0.001    0.000 threading.py:1230(current_thread)
      564    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      423    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       36    0.000    0.000    2.665    0.074 protocol.py:15(receive_json)
       36    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
      141    0.000    0.000    0.001    0.000 __init__.py:120(getLevelName)
      459    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       36    0.000    0.000    0.001    0.000 __init__.py:244(detect_encoding)
       36    0.000    0.000    0.001    0.000 decoder.py:334(decode)
       60    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       93    0.000    0.000    0.000    0.000 Character.py:19(__repr__)
      282    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       36    0.000    0.000    0.005    0.000 protocol.py:23(send_json)
      141    0.000    0.000    0.000    0.000 __init__.py:1530(getEffectiveLevel)
      141    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       36    0.000    0.000    2.682    0.074 utils.py:40(ask_question_json)
      141    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      282    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      141    0.000    0.000    0.000    0.000 threading.py:1076(name)
       20    0.000    0.000    0.000    0.000 Player.py:79(<listcomp>)
      108    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      141    0.000    0.000    0.000    0.000 {built-in method time.time}
       15    0.000    0.000    0.015    0.001 __init__.py:1286(debug)
        3    0.000    0.000    0.002    0.001 Game.py:147(fantom_scream)
       36    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      342    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       36    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       63    0.000    0.000    0.000    0.000 Game.py:221(<listcomp>)
      285    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        9    0.000    0.000    0.000    0.000 Game.py:209(<listcomp>)
        9    0.000    0.000    0.001    0.000 Game.py:204(__repr__)
       22    0.000    0.000    0.000    0.000 Player.py:87(<listcomp>)
       15    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
