         47711 function calls (42311 primitive calls) in 2.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    2.488    0.037    2.488    0.037 {method 'recv' of '_socket.socket' objects}
      544    0.021    0.000    0.021    0.000 {method 'write' of '_io.TextIOWrapper' objects}
11427/6027    0.011    0.000    0.020    0.000 encoder.py:333(_iterencode_dict)
      272    0.007    0.000    0.007    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       49    0.006    0.000    0.006    0.000 encoder.py:204(iterencode)
     5607    0.006    0.000    0.015    0.000 encoder.py:277(_iterencode_list)
      136    0.005    0.000    0.011    0.000 __init__.py:251(__init__)
     6027    0.004    0.000    0.024    0.000 encoder.py:412(_iterencode)
       68    0.003    0.000    0.003    0.000 {method 'sendall' of '_socket.socket' objects}
      408    0.003    0.000    0.015    0.000 __init__.py:564(format)
       49    0.003    0.000    0.033    0.001 encoder.py:182(encode)
     4984    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      136    0.003    0.000    0.003    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
      272    0.003    0.000    0.003    0.000 {built-in method time.localtime}
      272    0.002    0.000    0.060    0.000 __init__.py:852(handle)
      408    0.002    0.000    0.002    0.000 __init__.py:390(format)
      272    0.002    0.000    0.042    0.000 __init__.py:982(emit)
      272    0.002    0.000    0.011    0.000 __init__.py:971(flush)
      272    0.002    0.000    0.002    0.000 {built-in method time.strftime}
      136    0.002    0.000    0.004    0.000 __init__.py:1376(findCaller)
      136    0.002    0.000    0.013    0.000 handlers.py:177(shouldRollover)
     1170    0.002    0.000    0.002    0.000 Character.py:26(display)
      136    0.002    0.000    0.062    0.000 __init__.py:1500(callHandlers)
       63    0.001    0.000    0.004    0.000 Game.py:212(update_game_state)
      121    0.001    0.000    0.061    0.001 __init__.py:1298(info)
      136    0.001    0.000    0.079    0.001 __init__.py:1421(_log)
      408    0.001    0.000    0.002    0.000 __init__.py:329(getMessage)
       12    0.001    0.000    0.983    0.082 Player.py:326(move)
      544    0.001    0.000    0.002    0.000 __init__.py:809(acquire)
      408    0.001    0.000    0.016    0.000 __init__.py:829(format)
      408    0.001    0.000    0.002    0.000 __init__.py:387(usesTime)
      272    0.001    0.000    0.005    0.000 __init__.py:497(formatTime)
      136    0.001    0.000    0.012    0.000 __init__.py:1406(makeRecord)
       68    0.001    0.000    2.489    0.037 protocol.py:4(recvall)
      136    0.001    0.000    0.030    0.000 handlers.py:63(emit)
     1470    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring_ascii}
      136    0.001    0.000    0.002    0.000 posixpath.py:144(basename)
       12    0.001    0.000    2.607    0.217 Player.py:20(play)
      136    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
      544    0.001    0.000    0.001    0.000 __init__.py:816(release)
      408    0.001    0.000    0.002    0.000 __init__.py:542(usesTime)
      544    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
       63    0.001    0.000    0.001    0.000 Game.py:216(<listcomp>)
       24    0.001    0.000    0.975    0.041 Player.py:90(activate_power)
      136    0.001    0.000    0.001    0.000 posixpath.py:52(normcase)
      136    0.001    0.000    0.001    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
      136    0.001    0.000    0.002    0.000 posixpath.py:121(splitext)
      408    0.001    0.000    0.003    0.000 __init__.py:548(formatMessage)
      544    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       49    0.001    0.000    0.034    0.001 __init__.py:183(dumps)
       34    0.001    0.000    2.493    0.073 utils.py:12(receive_json_from_player)
      136    0.001    0.000    0.063    0.000 __init__.py:1446(handle)
       34    0.001    0.000    0.003    0.000 __init__.py:302(loads)
      408    0.001    0.000    0.001    0.000 __init__.py:705(filter)
      408    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       12    0.001    0.000    0.597    0.050 Player.py:44(select)
